,District,Latitude,longitude,ACTIVE CASES,CONFIRMED CASES,DECEASED CASES,RECOVERED CASES
280,Aurangabad,19.877263,75.3390241,3461,41465,967,37037
281,Beed,18.9904059,75.7542291,1641,13440,405,11394
282,Bhandara,27.604285400000002,84.64526207773613,1101,8454,187,7166
283,Buldhana,20.583333,76.416667,1782,10107,164,8161
284,Chandrapur,26.21231825,91.89620684881584,4213,15420,231,10976
285,Dhule,21.13050145,74.47891180551228,384,14088,340,13362
286,Gadchiroli,19.759070350000002,80.16228072580182,885,4798,34,3879
287,Gondia,-0.0891,97.8567,1004,9467,110,8353
288,Hingoli,19.54140965,77.17376601317515,530,3592,74,2988
289,Jalgaon,20.84351185,75.52592658756026,2060,53113,1339,49714
290,Jalna,19.9182328,75.8686246900443,664,10056,269,9123
291,Kolhapur,16.7028412,74.2405329,1335,46881,1599,43947
292,Latur,18.35146855,76.7551212230513,2456,20425,597,17372
293,Mumbai,18.9387711,72.8353355,17860,252085,10142,223586
294,Mumbai Suburban,19.13095765,72.88593095460952,0,0,0,0
295,Nagpur,21.1498134,79.0820556,5536,100199,2694,91959
296,Nanded,19.17257215,77.29141237169956,2460,18920,511,15949
297,Nandurbar,21.365998949999998,74.28400358178766,507,6303,138,5658
298,Nashik,20.0112475,73.7902364,6591,92318,1525,84202
299,Osmanabad,18.16984395,76.11796321159572,1267,15068,493,13308
300,Palghar,19.68086385,72.82537342511341,3320,42381,946,38115
301,Parbhani,19.29031365,76.60290343431203,916,6528,234,5378
302,Pune,18.521428,73.8544541,24352,330228,6607,299267
303,Raigad,18.4928092,73.13807095426539,3983,58800,1389,53426
304,Ratnagiri,17.282607900000002,73.4569787039826,1331,9892,369,8192
305,Sangli,16.8502534,74.5948885,2946,45984,1516,41522
306,Satara,17.63612885,74.29827807601782,5354,46438,1395,39687
307,Sindhudurg,16.135719299999998,73.65220860183584,652,4877,131,4094
308,Solapur,17.84990665,75.27632027348457,3376,42948,1413,38158
309,Thane,19.1943294,72.9701779,20820,219583,5288,193474
310,Wardha,20.82562315,78.61314549522919,565,6420,196,5658
311,Washim,20.28792095,77.23606281061035,505,5646,131,5009
312,Yavatmal,20.325703750000002,78.11691396684715,643,10607,310,9654
313,East Garo Hills,25.61849455,90.63421621777749,50,182,1,131
